Nome,Tipo de Iniciativa,Resultado esperado,Objetivo Estratégico,Unidade,Ano,Prazo,Estado,Porcentagem  de conclusão
Marketing digital para aumentar a visibilidade da MTI e gerar leads qualificados.,OBES - Objetivo Estratégico,"'- Vídeo Conexão MTI 1x por mês
- Site Institucional, Marketplace e Intranet sempre atualizados
- Redes Sociais: % conteúdos publicados (plano de mkt mensal)",Elevar o faturamento,ASSCOM - ASSESSORIA DE COMUNICACAO,2025,31-12-2025 00:00:00,Em andamento,"70,00"
"Valores e missão: Reforçar os valores e a missão da empresa, promovendo um senso de propósito e pertencimento.",OBES - Objetivo Estratégico,"Conteúdo sobre missão, visão e valores 1x por mês (utilizando diversas estratégias, como wallpaper, vídeo, texto, arte, quiz, entre outras)","Promover a satisfação do colaborador e aumentar suas competências, habilidades e atitudes",ASSCOM - ASSESSORIA DE COMUNICACAO,2025,31-12-2025 00:00:00,Em andamento,"70,00"
PNTP_Exibir caminho de páginas percorridas pelo usuário  (Item 13.2  Guia Atricon 2025),PNTP - Programa Nacional de Transparência Pública,Páginas percorridas pelo usuário exibidas,Aperfeiçoar a Governança Corporativa,ASSCOM - ASSESSORIA DE COMUNICACAO,2025,14-12-2025 20:00:00,Planejada,
"Realização e publicação periódica de pesquisas de satisfação: Conduzir pesquisas abrangentes com diversos stakeholders (cidadãos, governo, clientes, fornecedores, parceiros), utilizando os resultados para identificar áreas de melhoria e tomar decisõe",OBES - Objetivo Estratégico,Nota final da pesquisa,Elevar o nível de satisfação do cliente e da imagem institucional,ASSCOM - ASSESSORIA DE COMUNICACAO,2025,31-12-2025 00:00:00,Em andamento,"70,00"
Comunicação interna: Implementar canais de comunicação transparentes e eficazes para manter os colaboradores informados sobre os objetivos da empresa e os resultados alcançados.,OBES - Objetivo Estratégico,"'- Vídeo Conexão MTI 1x por mês
- % dos comunicados enviados dentro do prazo
- % conteúdos publicados (plano de endomkt mensal)
- % ações internas realizadas (plano de endomkt mensal)","Promover a satisfação do colaborador e aumentar suas competências, habilidades e atitudes",ASSCOM - ASSESSORIA DE COMUNICACAO,2025,31-12-2025 00:00:00,Em andamento,"70,00"
"Implementação de um plano de marketing estratégico: Desenvolver um plano de marketing para divulgar os produtos e serviços da MTI, com foco na geração de leads e conversão em vendas.",OBES - Objetivo Estratégico,Criação do plano anual de marketing/parceiros,Elevar o faturamento,ASSCOM - ASSESSORIA DE COMUNICACAO,2025,30-06-2025 00:00:00,Em andamento,"70,00"
PNTP_Incluir botão do Radar da Transparência Pública no site institucional (Item 2.9  Guia Atricon 2025),PNTP - Programa Nacional de Transparência Pública,Botão disponibilizado no Radar da Transparência,Aperfeiçoar a Governança Corporativa,ASSCOM - ASSESSORIA DE COMUNICACAO,2025,14-12-2025 20:00:00,Planejada,
PN_Aumentar em 25% o faturamento da MTI com o produto MTI Simplifica.,PNEG - Plano de Negócio,"A MTI Faturou aproximadamente 03 milhões em 2024, assim sendo a meta para 2025 será faturar no mínimo 3.75 milhões de reais.",Elevar o faturamento,DIRC - DIRETORIA DE RELACIONAMENTO COM O CLIENTE,2025,31-12-2025 00:00:00,Em andamento,"99,00"
PN_Aumentar 20% do faturamento da MTI com o produto MTI Workspace.,PNEG - Plano de Negócio,"A MTI tem faturado em média 13 milhões ano nos últimos 2 anos com esse produto. Deste modo, a meta é que o faturamento possa alcançar 15,6 milhões em faturamento de MTI Workspace em 2025.",Elevar o faturamento,DIRC - DIRETORIA DE RELACIONAMENTO COM O CLIENTE,2025,31-12-2025 00:00:00,Em andamento,"40,00"
PN_Alcançar 90% de média de satisfação do cliente em relação a prestação de serviços.,PNEG - Plano de Negócio,Atualmente estamos em 84% de satisfação e a meta é subir 6% alcançando 90% de satisfação geral do cliente.,Elevar o faturamento,DIRC - DIRETORIA DE RELACIONAMENTO COM O CLIENTE,2025,31-12-2025 00:00:00,Em andamento,"88,00"
PN_Aumentar em 15% o número de contratos celebrados pela MTI,PNEG - Plano de Negócio,Alcançar 93 contratos celebrados e em execução.,Elevar o faturamento,DIRC - DIRETORIA DE RELACIONAMENTO COM O CLIENTE,2025,31-12-2025 00:00:00,Em andamento,"92,00"
PN_Celebrar 03 (três) novos contratos com o produto MTI IA.,PNEG - Plano de Negócio,"Atualmente este produto foi contratado pela SEPLAG/MT em novembro de 2024, a meta é sair de um contrato para no mínimo 04 (quatro) contratos deste produto, sendo 03 (três) novos contratos.",Elevar o faturamento,DIRC - DIRETORIA DE RELACIONAMENTO COM O CLIENTE,2025,31-12-2025 00:00:00,Em andamento,"99,00"
PN_Celebrar 03 (três) novos contratos com o produto MTI Cloud.,PNEG - Plano de Negócio,"Este produto tem uma questão diferenciada, nosso consumo interno tem sido usado como insumo para prestação de serviços de backup para vários clientes que temos, adicionalmente temos um contrato com o MPMT que usa este produto, deste modo nossa meta é ter no mínimo 03 (três) novos contratos celebrados especificamente para este produto, alcançando 04 (quatro) contratos em execução.",Elevar o faturamento,DIRC - DIRETORIA DE RELACIONAMENTO COM O CLIENTE,2025,31-12-2025 00:00:00,Em andamento,"99,00"
PN_Celebrar 03 (três) novos contratos com o produto MTI Now.,PNEG - Plano de Negócio,"Atualmente só temos um contrato de contratos deste novo produto, assim sendo a meta é celebrar no mínimo 03 (três) novos contratos para este produto.",Elevar o faturamento,DIRC - DIRETORIA DE RELACIONAMENTO COM O CLIENTE,2025,31-12-2025 00:00:00,Em andamento,"99,00"
PN_Celebrar 02 (dois) novos contratos com o produto MTI DEV SEC.GOV.,PNEG - Plano de Negócio,"Atualmente nós só temos um contrato desse produto, deste modo a meta é celebrar 02 (dois) novos contratos com qualquer cliente.",Elevar o faturamento,DIRC - DIRETORIA DE RELACIONAMENTO COM O CLIENTE,2025,31-12-2025 00:00:00,Em andamento,"50,00"
