Nº ,OBJETO ,CONTRATO,"NÚMERO CONTRATO
(se existente, selecionar a partir da lista)",DIRETORIA RESPONSÁVEL,Unidade,CÓD. PAOE,DESCRIÇÃO DO ITEM DE DESPESA,UNIDADE DE MEDIDA,QTD,VALOR UNITÁRIO,VALOR TOTAL,GRUPO DE DESPESA,NATUREZA,FONTE,IDU,NÍVEL DE RISCO,DESCRIÇÃO DO RISCO,OBJETIVO ESTRATÉGICO,"Plano Estratégico (A)
digite entre 1-5
1 = menor
5 = maior","Gravidade (B)
digite entre 1-5
1 = menor
5 = maior","Urgência (C)
digite entre 1-5
1 = menor
5 = maior","Tendência (D)
digite entre 1-5
1 = menor
5 = maior",Prioridade acumulada (A*B*C*D),OBSERVAÇÃO
01,Pagamento de Diarias ,Não,,GADP,GADP,2004,Pagamento de Diárias Fora do Estado,Mensal,12,"R$ 12.000,00","R$ 144.000,00",3-DESPESAS CORRENTES,339014002,1.501.0000,OD-OUTRAS DESPESAS,ALTO,"não havendo diarias, ficaremos sem o custeio para uma viagem para outro estado ou até mesmo para dentro do estado;",,3,3,3,3,81,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
00,,,,,,2004,,,,,"R$ 0,00",,,,,,,,,,,,0,
